id,machine_id,cpu_util,mem_used,mem_specs,date
177,1,0.0,14265678.64987551,16777216.0,2023-12-02 23:58:09.966000
178,1,20.14678012906646,14020168.89534992,16777216.0,2023-12-02 23:53:09.966000
179,1,7.155364790173447,14384181.46648325,16777216.0,2023-12-02 23:48:09.966000
180,1,10.8620272552789,11832701.11208316,16777216.0,2023-12-02 23:43:09.966000
181,1,13.34701983056486,13990912.93038959,16777216.0,2023-12-02 23:38:09.966000
182,1,1.125305687518534,16777216.0,16777216.0,2023-12-02 23:33:09.966000
183,1,20.88613438279159,13759147.95361178,16777216.0,2023-12-02 23:28:09.966000
184,1,1.296843296180839,11482102.14987507,16777216.0,2023-12-02 23:23:09.966000
185,1,18.77781847610882,14349493.10367789,16777216.0,2023-12-02 23:18:09.966000
186,1,13.75865465980115,13494507.75101265,16777216.0,2023-12-02 23:13:09.966000
187,1,7.321132383481185,12339092.47044761,16777216.0,2023-12-02 23:08:09.966000
188,1,17.95567878814361,12623410.07084295,16777216.0,2023-12-02 23:03:09.966000
189,1,23.40560431640789,16777216.0,16777216.0,2023-12-02 22:58:09.966000
190,1,20.61888341612457,12225028.76305368,16777216.0,2023-12-02 22:53:09.966000
191,1,0.0,14122007.06884946,16777216.0,2023-12-02 22:48:09.966000
192,1,15.45129043523296,16777216.0,16777216.0,2023-12-02 22:43:09.966000
193,1,17.76028687934582,14128348.12095724,16777216.0,2023-12-02 22:38:09.966000
194,1,31.68838627298336,15268899.18691271,16777216.0,2023-12-02 22:33:09.966000
195,1,28.53779052906363,16120393.27034776,16777216.0,2023-12-02 22:28:09.966000
196,1,24.07709256744322,8765388.095091838,16777216.0,2023-12-02 22:23:09.966000
197,1,3.021129300287306,16598593.51386295,16777216.0,2023-12-02 22:18:09.966000
198,1,20.8554535859255,11460334.24786838,16777216.0,2023-12-02 22:13:09.966000
199,1,21.63023067389189,11021315.69219955,16777216.0,2023-12-02 22:08:09.966000
200,1,0.0,11736145.64315837,16777216.0,2023-12-02 22:03:09.966000
201,1,18.58144822412767,15555982.22875853,16777216.0,2023-12-02 21:58:09.966000
202,1,19.62303074676895,10392016.37496628,16777216.0,2023-12-02 21:53:09.966000
203,1,11.46438240939206,16089931.29379387,16777216.0,2023-12-02 21:48:09.966000
204,1,25.3523597059307,10800113.57522323,16777216.0,2023-12-02 21:43:09.966000
