time,machine_id,cpu_util,anomaly,lag_1
2017-10-03 00:10:00,m16,0.34,0,0.3
2017-10-03 00:20:00,m16,0.25333333333,0,0.34
2017-10-03 00:30:00,m16,0.2,0,0.25333333333
2017-10-03 00:40:00,m16,0.2,0,0.2
2017-10-03 00:50:00,m16,0.24833333333,0,0.2
2017-10-03 01:00:00,m16,0.2,0,0.24833333333
2017-10-03 01:10:00,m16,0.345,0,0.2
2017-10-03 01:20:00,m16,0.37,0,0.345
2017-10-03 01:30:00,m16,0.25333333333,0,0.37
2017-10-03 01:40:00,m16,0.4,0,0.25333333333
2017-10-03 01:50:00,m16,0.31,0,0.4
2017-10-03 02:00:00,m16,0.25,0,0.31
2017-10-03 02:10:00,m16,0.655,0,0.25
2017-10-03 02:20:00,m16,0.2,0,0.655
2017-10-03 02:30:00,m16,0.625,0,0.2
2017-10-03 02:40:00,m16,0.2,0,0.625
2017-10-03 02:50:00,m16,0.2,0,0.2
2017-10-03 03:00:00,m16,0.3,0,0.2
2017-10-03 03:10:00,m16,0.7,0,0.3
2017-10-03 03:20:00,m16,8.7533333333,0,0.7
2017-10-03 03:30:00,m16,54.94,1,8.7533333333
2017-10-03 03:40:00,m16,55.8,1,54.94
2017-10-03 03:50:00,m16,61.66,1,55.8
2017-10-03 04:00:00,m16,50.533333333,0,61.66
2017-10-03 04:10:00,m16,48.19,0,50.533333333
2017-10-03 04:20:00,m16,61.5875,0,48.19
2017-10-03 04:30:00,m16,25.868333333,0,61.5875
2017-10-03 04:40:00,m16,63.26,1,25.868333333
2017-10-03 04:50:00,m16,62.575,1,63.26
2017-10-03 05:00:00,m16,51.04,0,62.575
2017-10-03 05:10:00,m16,28.48,0,51.04
2017-10-03 05:20:00,m16,39.2,0,28.48
2017-10-03 05:30:00,m16,55.3,0,39.2
2017-10-03 05:40:00,m16,54.145,0,55.3
2017-10-03 05:50:00,m16,41.39,0,54.145
2017-10-03 06:00:00,m16,59.756666667,1,41.39
2017-10-03 06:10:00,m16,32.205,0,59.756666667
2017-10-03 06:20:00,m16,64.606666667,1,32.205
2017-10-03 06:30:00,m16,26.806666667,0,64.606666667
2017-10-03 06:40:00,m16,49.395,0,26.806666667
2017-10-03 06:50:00,m16,44.67,0,49.395
2017-10-03 07:00:00,m16,50.0,0,44.67
2017-10-03 07:10:00,m16,63.913333333,1,50.0
2017-10-03 07:20:00,m16,56.99,0,63.913333333
2017-10-03 07:30:00,m16,55.453333333,0,56.99
2017-10-03 07:40:00,m16,55.091666667,0,55.453333333
2017-10-03 07:50:00,m16,57.86,0,55.091666667
2017-10-03 08:00:00,m16,47.053333333,0,57.86
2017-10-03 08:10:00,m16,57.666666667,0,47.053333333
2017-10-03 08:20:00,m16,61.333333333,0,57.666666667
2017-10-03 08:30:00,m16,59.726666667,0,61.333333333
2017-10-03 08:40:00,m16,51.933333333,0,59.726666667
2017-10-03 08:50:00,m16,57.845,0,51.933333333
2017-10-03 09:00:00,m16,56.61,0,57.845
2017-10-03 09:10:00,m16,60.72,0,56.61
2017-10-03 09:20:00,m16,61.9,0,60.72
2017-10-03 09:30:00,m16,46.403333333,0,61.9
2017-10-03 09:40:00,m16,50.668333333,0,46.403333333
2017-10-03 09:50:00,m16,59.21,0,50.668333333
2017-10-03 10:00:00,m16,65.4,0,59.21
2017-10-03 10:10:00,m16,54.228333333,0,65.4
2017-10-03 10:20:00,m16,56.15,0,54.228333333
2017-10-03 10:30:00,m16,64.841666667,0,56.15
2017-10-03 10:40:00,m16,52.64,0,64.841666667
2017-10-03 10:50:00,m16,60.32,0,52.64
2017-10-03 11:00:00,m16,53.933333333,0,60.32
2017-10-03 11:10:00,m16,57.526666667,0,53.933333333
2017-10-03 11:20:00,m16,62.713333333,0,57.526666667
2017-10-03 11:30:00,m16,54.55,0,62.713333333
2017-10-03 11:40:00,m16,61.433333333,0,54.55
2017-10-03 11:50:00,m16,60.445,0,61.433333333
2017-10-03 12:00:00,m16,60.961666667,0,60.445
2017-10-03 12:10:00,m16,55.683333333,0,60.961666667
2017-10-03 12:20:00,m16,61.598333333,0,55.683333333
2017-10-03 12:30:00,m16,62.07,0,61.598333333
2017-10-03 12:40:00,m16,63.04,0,62.07
2017-10-03 12:50:00,m16,49.69,0,63.04
2017-10-03 13:00:00,m16,60.536666667,0,49.69
2017-10-03 13:10:00,m16,47.206666667,0,60.536666667
2017-10-03 13:20:00,m16,65.116666667,0,47.206666667
2017-10-03 13:30:00,m16,51.55,0,65.116666667
2017-10-03 13:40:00,m16,58.583333333,0,51.55
2017-10-03 13:50:00,m16,64.666666667,0,58.583333333
2017-10-03 14:00:00,m16,52.41,0,64.666666667
2017-10-03 14:10:00,m16,55.745,0,52.41
2017-10-03 14:20:00,m16,50.38,0,55.745
2017-10-03 14:30:00,m16,59.55,0,50.38
2017-10-03 14:40:00,m16,60.52,0,59.55
2017-10-03 14:50:00,m16,61.025,0,60.52
2017-10-03 15:00:00,m16,25.4,0,61.025
2017-10-03 15:10:00,m16,54.465,0,25.4
2017-10-03 15:20:00,m16,59.793333333,0,54.465
2017-10-03 15:30:00,m16,48.52,0,59.793333333
2017-10-03 15:40:00,m16,62.201666667,0,48.52
2017-10-03 15:50:00,m16,47.4,0,62.201666667
2017-10-03 16:00:00,m16,62.046666667,1,47.4
2017-10-03 16:10:00,m16,59.586666667,1,62.046666667
2017-10-03 16:20:00,m16,64.086666667,1,59.586666667
2017-10-03 16:30:00,m16,45.386666667,1,64.086666667
2017-10-03 16:40:00,m16,0.21333333333,0,45.386666667
2017-10-03 16:50:00,m16,0.4,0,0.21333333333
2017-10-03 17:00:00,m16,0.46,0,0.4
2017-10-03 17:10:00,m16,0.2,0,0.46
2017-10-03 17:20:00,m16,0.4,0,0.2
2017-10-03 17:30:00,m16,0.3,0,0.4
2017-10-03 17:40:00,m16,41.3,1,0.3
2017-10-03 17:50:00,m16,41.3,1,41.3
2017-10-03 18:00:00,m16,41.588333333,1,41.3
2017-10-03 18:10:00,m16,41.5,1,41.588333333
2017-10-03 18:20:00,m16,41.553333333,1,41.5
2017-10-03 18:30:00,m16,40.656666667,0,41.553333333
2017-10-03 18:40:00,m16,41.193333333,0,40.656666667
2017-10-03 18:50:00,m16,0.34666666667,0,41.193333333
2017-10-03 19:00:00,m16,3.23,0,0.34666666667
2017-10-03 19:10:00,m16,41.341666667,0,3.23
2017-10-03 19:20:00,m16,41.5,0,41.341666667
2017-10-03 19:30:00,m16,41.561666667,1,41.5
2017-10-03 19:40:00,m16,41.573333333,1,41.561666667
2017-10-03 19:50:00,m16,41.09,1,41.573333333
2017-10-03 20:00:00,m16,41.0,1,41.09
2017-10-03 20:10:00,m16,0.34666666667,0,41.0
2017-10-03 20:20:00,m16,0.2,0,0.34666666667
2017-10-03 20:30:00,m16,0.36333333333,0,0.2
2017-10-03 20:40:00,m16,0.57,0,0.36333333333
2017-10-03 20:50:00,m16,0.2,0,0.57
2017-10-03 21:00:00,m16,0.2,0,0.2
2017-10-03 21:10:00,m16,0.2,0,0.2
2017-10-03 21:20:00,m16,0.54166666667,0,0.2
2017-10-03 21:30:00,m16,0.3,0,0.54166666667
2017-10-03 21:40:00,m16,0.4,0,0.3
2017-10-03 21:50:00,m16,0.7,0,0.4
2017-10-03 22:00:00,m16,0.34333333333,0,0.7
2017-10-03 22:10:00,m16,0.375,0,0.34333333333
2017-10-03 22:20:00,m16,0.3,0,0.375
2017-10-03 22:30:00,m16,0.42666666667,0,0.3
2017-10-03 22:40:00,m16,0.3,0,0.42666666667
2017-10-03 22:50:00,m16,0.3,0,0.3
2017-10-03 23:00:00,m16,0.3,0,0.3
2017-10-03 23:10:00,m16,0.355,0,0.3
2017-10-03 23:20:00,m16,0.3,0,0.355
2017-10-03 23:30:00,m16,0.5,0,0.3
2017-10-03 23:40:00,m16,0.24,0,0.5
2017-10-03 23:50:00,m16,0.64666666667,0,0.24
2017-10-04 00:00:00,m16,0.5,0,0.64666666667
2017-10-04 00:10:00,m16,0.6,0,0.5
2017-10-04 00:20:00,m16,0.355,0,0.6
2017-10-04 00:30:00,m16,14.161666667,0,0.355
2017-10-04 00:40:00,m16,17.2,0,14.161666667
2017-10-04 00:50:00,m16,16.95,0,17.2
2017-10-04 01:00:00,m16,16.913333333,0,16.95
2017-10-04 01:10:00,m16,16.53,0,16.913333333
2017-10-04 01:20:00,m16,17.043333333,0,16.53
2017-10-04 01:30:00,m16,12.59,0,17.043333333
2017-10-04 01:40:00,m16,16.93,0,12.59
