time;machine_id;mem_total;mem_free
2017-10-03T00:00:00.000000Z;m21;528272672.0;131907270.4
2017-10-03T00:01:00.000000Z;m21;528272672.0;131909490.4
2017-10-03T00:02:00.000000Z;m21;528272672.0;131680566.4
2017-10-03T00:03:00.000000Z;m21;528272672.0;131202920.8
2017-10-03T00:04:00.000000Z;m21;528272672.0;131524354.67
2017-10-03T00:05:00.000000Z;m21;528272672.0;132175527.2
2017-10-03T00:06:00.000000Z;m21;528272672.0;132144406.67
2017-10-03T00:07:00.000000Z;m21;528272672.0;132218000.8
2017-10-03T00:08:00.000000Z;m21;528272672.0;132172381.6
2017-10-03T00:09:00.000000Z;m21;528272672.0;132203598.4
2017-10-03T00:10:00.000000Z;m21;528272672.0;132097619.2
2017-10-03T00:11:00.000000Z;m21;528272672.0;131884136.0
2017-10-03T00:12:00.000000Z;m21;528272672.0;131798139.33
2017-10-03T00:13:00.000000Z;m21;528272672.0;131951466.0
2017-10-03T00:14:00.000000Z;m21;528272672.0;132091248.53
2017-10-03T00:15:00.000000Z;m21;528272672.0;131974035.2
2017-10-03T00:16:00.000000Z;m21;528272672.0;132004450.67
2017-10-03T00:17:00.000000Z;m21;528272672.0;132124248.0
2017-10-03T00:18:00.000000Z;m21;528272672.0;132018467.2
2017-10-03T00:19:00.000000Z;m21;528272672.0;131900971.73
2017-10-03T00:20:00.000000Z;m21;528272672.0;131926512.0
2017-10-03T00:21:00.000000Z;m21;528272672.0;132038075.73
2017-10-03T00:22:00.000000Z;m21;528272672.0;132140939.2
2017-10-03T00:23:00.000000Z;m21;528272672.0;132070108.0
2017-10-03T00:24:00.000000Z;m21;528272672.0;132026252.8
2017-10-03T00:25:00.000000Z;m21;528272672.0;131982674.67
2017-10-03T00:26:00.000000Z;m21;528272672.0;131935936.8
2017-10-03T00:27:00.000000Z;m21;528272672.0;131917257.87
2017-10-03T00:28:00.000000Z;m21;528272672.0;131992023.73
2017-10-03T00:29:00.000000Z;m21;528272672.0;131948872.0
2017-10-03T00:30:00.000000Z;m21;528272672.0;131901282.13
2017-10-03T00:31:00.000000Z;m21;528272672.0;131975846.4
2017-10-03T00:32:00.000000Z;m21;528272672.0;131998336.27
2017-10-03T00:33:00.000000Z;m21;528272672.0;131991681.2
2017-10-03T00:34:00.000000Z;m21;528272672.0;132118070.0
2017-10-03T00:35:00.000000Z;m21;528272672.0;132245351.87
2017-10-03T00:36:00.000000Z;m21;528272672.0;132240745.6
2017-10-03T00:37:00.000000Z;m21;528272672.0;132183638.4
2017-10-03T00:38:00.000000Z;m21;528272672.0;132126963.2
2017-10-03T00:39:00.000000Z;m21;528272672.0;132055668.8
2017-10-03T00:40:00.000000Z;m21;528272672.0;132132178.93
2017-10-03T00:41:00.000000Z;m21;528272672.0;132183588.0
2017-10-03T00:42:00.000000Z;m21;528272672.0;132118762.67
2017-10-03T00:43:00.000000Z;m21;528272672.0;132050345.6
2017-10-03T00:44:00.000000Z;m21;528272672.0;132059184.0
2017-10-03T00:45:00.000000Z;m21;528272672.0;132269440.4
2017-10-03T00:46:00.000000Z;m21;528272672.0;132496850.0
