time;machine_id;cpu_util
2017-10-03 00:00:00 PDT;m16;0.3
2017-10-03 00:01:00 PDT;m16;0.26166666667
2017-10-03 00:02:00 PDT;m16;0.23833333333
2017-10-03 00:03:00 PDT;m16;0.3
2017-10-03 00:04:00 PDT;m16;0.26666666667
2017-10-03 00:05:00 PDT;m16;0.34666666667
2017-10-03 00:06:00 PDT;m16;0.45333333333
2017-10-03 00:07:00 PDT;m16;0.23666666667
2017-10-03 00:08:00 PDT;m16;0.48333333333
2017-10-03 00:09:00 PDT;m16;0.6
2017-10-03 00:10:00 PDT;m16;0.34
2017-10-03 00:11:00 PDT;m16;0.435
2017-10-03 00:12:00 PDT;m16;0.385
2017-10-03 00:13:00 PDT;m16;0.2
2017-10-03 00:14:00 PDT;m16;0.24666666667
2017-10-03 00:15:00 PDT;m16;0.25333333333
2017-10-03 00:16:00 PDT;m16;0.29666666667
2017-10-03 00:17:00 PDT;m16;0.4
2017-10-03 00:18:00 PDT;m16;0.29333333333
2017-10-03 00:19:00 PDT;m16;0.2
2017-10-03 00:20:00 PDT;m16;0.25333333333
2017-10-03 00:21:00 PDT;m16;0.24666666667
2017-10-03 00:22:00 PDT;m16;0.2
2017-10-03 00:23:00 PDT;m16;0.375
2017-10-03 00:24:00 PDT;m16;0.62
2017-10-03 00:25:00 PDT;m16;0.46666666667
2017-10-03 00:26:00 PDT;m16;0.3
2017-10-03 00:27:00 PDT;m16;0.3
2017-10-03 00:28:00 PDT;m16;0.39666666667
2017-10-03 00:29:00 PDT;m16;0.35
2017-10-03 00:30:00 PDT;m16;0.2
2017-10-03 00:31:00 PDT;m16;0.2
2017-10-03 00:32:00 PDT;m16;0.2
2017-10-03 00:33:00 PDT;m16;0.2
2017-10-03 00:34:00 PDT;m16;0.31666666667
2017-10-03 00:35:00 PDT;m16;0.27666666667
2017-10-03 00:36:00 PDT;m16;0.2
2017-10-03 00:37:00 PDT;m16;0.32
2017-10-03 00:38:00 PDT;m16;0.33833333333
2017-10-03 00:39:00 PDT;m16;0.24
2017-10-03 00:40:00 PDT;m16;0.2
2017-10-03 00:41:00 PDT;m16;0.2
2017-10-03 00:42:00 PDT;m16;0.2
2017-10-03 00:43:00 PDT;m16;0.38
2017-10-03 00:44:00 PDT;m16;0.38333333333
2017-10-03 00:45:00 PDT;m16;0.245
2017-10-03 00:46:00 PDT;m16;0.255
2017-10-03 00:47:00 PDT;m16;0.50666666667
2017-10-03 00:48:00 PDT;m16;0.43333333333
2017-10-03 00:49:00 PDT;m16;0.25166666667
2017-10-03 00:50:00 PDT;m16;0.24833333333
2017-10-03 00:51:00 PDT;m16;0.2
2017-10-03 00:52:00 PDT;m16;0.2
2017-10-03 00:53:00 PDT;m16;0.2
2017-10-03 00:54:00 PDT;m16;0.2
2017-10-03 00:55:00 PDT;m16;0.45833333333
2017-10-03 00:56:00 PDT;m16;0.46666666667
2017-10-03 00:57:00 PDT;m16;0.29333333333
2017-10-03 00:58:00 PDT;m16;0.35333333333
2017-10-03 00:59:00 PDT;m16;0.25
2017-10-03 01:00:00 PDT;m16;0.2
2017-10-03 01:01:00 PDT;m16;0.2
2017-10-03 01:02:00 PDT;m16;0.34
2017-10-03 01:03:00 PDT;m16;0.35
2017-10-03 01:04:00 PDT;m16;0.2
2017-10-03 01:05:00 PDT;m16;0.2
2017-10-03 01:06:00 PDT;m16;0.2
2017-10-03 01:07:00 PDT;m16;0.2
2017-10-03 01:08:00 PDT;m16;0.2
2017-10-03 01:09:00 PDT;m16;0.30333333333
2017-10-03 01:10:00 PDT;m16;0.345
2017-10-03 01:11:00 PDT;m16;0.3
2017-10-03 01:12:00 PDT;m16;0.24333333333
2017-10-03 01:13:00 PDT;m16;0.14666666667
2017-10-03 01:14:00 PDT;m16;0.155
2017-10-03 01:15:00 PDT;m16;0.2
2017-10-03 01:16:00 PDT;m16;0.2
2017-10-03 01:17:00 PDT;m16;0.44666666667
2017-10-03 01:18:00 PDT;m16;0.34
2017-10-03 01:19:00 PDT;m16;0.2
2017-10-03 01:20:00 PDT;m16;0.37
2017-10-03 01:21:00 PDT;m16;0.335
2017-10-03 01:22:00 PDT;m16;0.2
2017-10-03 01:23:00 PDT;m16;0.2
2017-10-03 01:24:00 PDT;m16;0.25
2017-10-03 01:25:00 PDT;m16;0.25166666667
2017-10-03 01:26:00 PDT;m16;0.2
2017-10-03 01:27:00 PDT;m16;0.29333333333
2017-10-03 01:28:00 PDT;m16;0.31333333333
2017-10-03 01:29:00 PDT;m16;0.24666666667
2017-10-03 01:30:00 PDT;m16;0.25333333333
2017-10-03 01:31:00 PDT;m16;0.25166666667
2017-10-03 01:32:00 PDT;m16;0.24666666667
2017-10-03 01:33:00 PDT;m16;0.2
2017-10-03 01:34:00 PDT;m16;0.2
2017-10-03 01:35:00 PDT;m16;0.2
2017-10-03 01:36:00 PDT;m16;0.24666666667
2017-10-03 01:37:00 PDT;m16;0.3
2017-10-03 01:38:00 PDT;m16;0.345
2017-10-03 01:39:00 PDT;m16;0.4
2017-10-03 01:40:00 PDT;m16;0.4
2017-10-03 01:41:00 PDT;m16;0.30333333333
2017-10-03 01:42:00 PDT;m16;0.24666666667
2017-10-03 01:43:00 PDT;m16;0.3
2017-10-03 01:44:00 PDT;m16;0.21666666667
2017-10-03 01:45:00 PDT;m16;0.145
2017-10-03 01:46:00 PDT;m16;0.24666666667
2017-10-03 01:47:00 PDT;m16;0.3
2017-10-03 01:48:00 PDT;m16;0.26
2017-10-03 01:49:00 PDT;m16;0.28
2017-10-03 01:50:00 PDT;m16;0.31
2017-10-03 01:51:00 PDT;m16;0.245
2017-10-03 01:52:00 PDT;m16;0.255
2017-10-03 01:53:00 PDT;m16;0.2
2017-10-03 01:54:00 PDT;m16;0.29666666667
2017-10-03 01:55:00 PDT;m16;0.35
2017-10-03 01:56:00 PDT;m16;0.3
2017-10-03 01:57:00 PDT;m16;0.4
2017-10-03 01:58:00 PDT;m16;0.5
2017-10-03 01:59:00 PDT;m16;0.335
2017-10-03 02:00:00 PDT;m16;0.25
2017-10-03 02:01:00 PDT;m16;0.3
2017-10-03 02:02:00 PDT;m16;0.25666666667
2017-10-03 02:03:00 PDT;m16;0.2
2017-10-03 02:04:00 PDT;m16;0.2
2017-10-03 02:05:00 PDT;m16;0.2
2017-10-03 02:06:00 PDT;m16;0.315
2017-10-03 02:07:00 PDT;m16;0.58
2017-10-03 02:08:00 PDT;m16;0.49166666667
2017-10-03 02:09:00 PDT;m16;0.46833333333
2017-10-03 02:10:00 PDT;m16;0.655
2017-10-03 02:11:00 PDT;m16;0.2
2017-10-03 02:12:00 PDT;m16;0.2
2017-10-03 02:13:00 PDT;m16;0.2
2017-10-03 02:14:00 PDT;m16;0.28
2017-10-03 02:15:00 PDT;m16;0.47833333333
2017-10-03 02:16:00 PDT;m16;0.4
2017-10-03 02:17:00 PDT;m16;0.38
2017-10-03 02:18:00 PDT;m16;0.285
2017-10-03 02:19:00 PDT;m16;0.2
2017-10-03 02:20:00 PDT;m16;0.2
2017-10-03 02:21:00 PDT;m16;0.2
2017-10-03 02:22:00 PDT;m16;0.22
2017-10-03 02:23:00 PDT;m16;0.3
2017-10-03 02:24:00 PDT;m16;0.3
2017-10-03 02:25:00 PDT;m16;0.28
2017-10-03 02:26:00 PDT;m16;0.2
2017-10-03 02:27:00 PDT;m16;0.35
2017-10-03 02:28:00 PDT;m16;0.95333333333
2017-10-03 02:29:00 PDT;m16;0.38
2017-10-03 02:30:00 PDT;m16;0.625
2017-10-03 02:31:00 PDT;m16;0.21333333333
2017-10-03 02:32:00 PDT;m16;0.28833333333
2017-10-03 02:33:00 PDT;m16;0.21333333333
2017-10-03 02:34:00 PDT;m16;0.28666666667
2017-10-03 02:35:00 PDT;m16;0.22666666667
2017-10-03 02:36:00 PDT;m16;0.41666666667
2017-10-03 02:37:00 PDT;m16;0.435
2017-10-03 02:38:00 PDT;m16;0.2
2017-10-03 02:39:00 PDT;m16;0.2
2017-10-03 02:40:00 PDT;m16;0.2
2017-10-03 02:41:00 PDT;m16;0.21666666667
2017-10-03 02:42:00 PDT;m16;0.28666666667
2017-10-03 02:43:00 PDT;m16;0.2
2017-10-03 02:44:00 PDT;m16;0.2
2017-10-03 02:45:00 PDT;m16;0.2
2017-10-03 02:46:00 PDT;m16;0.21
2017-10-03 02:47:00 PDT;m16;0.40833333333
2017-10-03 02:48:00 PDT;m16;0.475
2017-10-03 02:49:00 PDT;m16;0.2
2017-10-03 02:50:00 PDT;m16;0.2
2017-10-03 02:51:00 PDT;m16;0.2
2017-10-03 02:52:00 PDT;m16;0.2
2017-10-03 02:53:00 PDT;m16;0.2
