cpu_util,date,anomaly
89.44731978455181,2023-06-25 00:03:05.640,1
57.32053757696777,2023-06-25 00:08:05.640,0
87.05868816935805,2023-06-25 00:13:05.640,1
87.40946704073923,2023-06-25 00:18:05.640,1
78.11149379096855,2023-06-25 00:23:05.640,0
65.11130559306088,2023-06-25 00:28:05.640,0
94.52660972679008,2023-06-25 00:33:05.640,1
82.00784806011208,2023-06-25 00:38:05.640,0
79.77342749202175,2023-06-25 00:43:05.640,0
74.05801693574021,2023-06-25 00:48:05.640,0
67.48749963270419,2023-06-25 00:53:05.640,0
76.93928035749951,2023-06-25 00:58:05.640,0
95.6497890521666,2023-06-25 01:03:05.640,1
83.37516800470843,2023-06-25 01:08:05.640,0
84.73595629079249,2023-06-25 01:13:05.640,0
64.96164216689739,2023-06-25 01:18:05.640,0
77.15604013622041,2023-06-25 01:23:05.640,0
92.2312891490293,2023-06-25 01:28:05.640,0
85.6552955260843,2023-06-25 01:33:05.640,0
79.83183767820158,2023-06-25 01:38:05.640,0
71.03658604936852,2023-06-25 01:43:05.640,0
98.6195019160921,2023-06-25 01:48:05.640,1
72.2549892884876,2023-06-25 01:53:05.640,0
71.35543173753527,2023-06-25 01:58:05.640,0
68.15832564433481,2023-06-25 02:03:05.640,0
74.30068304155063,2023-06-25 02:08:05.640,0
67.26999117605705,2023-06-25 02:13:05.640,0
83.95409470223703,2023-06-25 02:18:05.640,0
66.62138213115314,2023-06-25 02:23:05.640,0
81.96402461696263,2023-06-25 02:28:05.640,0
61.47704896038158,2023-06-25 02:33:05.640,0
73.26157200800732,2023-06-25 02:38:05.640,0
74.20476266121447,2023-06-25 02:43:05.640,0
62.76365752031545,2023-06-25 02:48:05.640,0
87.74262031795682,2023-06-25 02:53:05.640,1
74.06730285438614,2023-06-25 02:58:05.640,0
50.52022943616683,2023-06-25 03:03:05.640,0
63.16005797161745,2023-06-25 03:08:05.640,0
77.53272782044725,2023-06-25 03:13:05.640,0
83.10955113434595,2023-06-25 03:18:05.640,0
72.56537358023047,2023-06-25 03:23:05.640,0
78.83376511739144,2023-06-25 03:28:05.640,0
87.1736497783758,2023-06-25 03:33:05.640,0
77.84658404062681,2023-06-25 03:38:05.640,0
55.600097446711,2023-06-25 03:43:05.640,0
80.50936513614245,2023-06-25 03:48:05.640,0
70.7745988917786,2023-06-25 03:53:05.640,0
75.75797177726976,2023-06-25 03:58:05.640,0
63.02439728490106,2023-06-25 04:03:05.640,0
64.62549541701114,2023-06-25 04:08:05.640,0
78.94519677674501,2023-06-25 04:13:05.640,0
59.12560303698909,2023-06-25 04:18:05.640,0
65.48083967826344,2023-06-25 04:23:05.640,0
62.4703835103679,2023-06-25 04:28:05.640,0
82.50969617599783,2023-06-25 04:33:05.640,0
84.11619404046444,2023-06-25 04:38:05.640,0
83.4612732008456,2023-06-25 04:43:05.640,0
65.31274271560389,2023-06-25 04:48:05.640,0
70.0751906500983,2023-06-25 04:53:05.640,0
69.72732143878608,2023-06-25 04:58:05.640,0
92.46758728514467,2023-06-25 05:03:05.640,1
52.6165468315623,2023-06-25 05:08:05.640,0
67.93195797308975,2023-06-25 05:13:05.640,0
74.71412451847988,2023-06-25 05:18:05.640,0
70.15496318847593,2023-06-25 05:23:05.640,0
66.6626156451052,2023-06-25 05:28:05.640,0
76.31976578524393,2023-06-25 05:33:05.640,0
69.6897388708188,2023-06-25 05:38:05.640,0
70.21991753557265,2023-06-25 05:43:05.640,0
84.13495475379489,2023-06-25 05:48:05.640,0
97.19346881927018,2023-06-25 05:53:05.640,1
86.20367507973856,2023-06-25 05:58:05.640,0
77.51778835749194,2023-06-25 06:03:05.640,0
87.2537008895626,2023-06-25 06:08:05.640,0
100.0277939417552,2023-06-25 06:13:05.640,1
76.23932465905081,2023-06-25 06:18:05.640,0
66.29264850861773,2023-06-25 06:23:05.640,0
83.22438754523985,2023-06-25 06:28:05.640,0
73.70738664475829,2023-06-25 06:33:05.640,0
98.98767405559197,2023-06-25 06:38:05.640,1
92.8218713206506,2023-06-25 06:43:05.640,1
74.7515046393012,2023-06-25 06:48:05.640,0
