cpu_usage,memory_usage,timestamp
33.512495157120064,500029.9407184714,2023-12-04T22:00:00.000000Z
29.26888822810789,499976.24677433714,2023-12-04T22:05:00.000000Z
30.358837181050504,500080.3854874988,2023-12-04T22:10:00.000000Z
35.063998302390374,500004.0693651559,2023-12-04T22:15:00.000000Z
21.75600725310518,499876.86118316994,2023-12-04T22:20:00.000000Z
22.30233212991711,500021.9654923256,2023-12-04T22:25:00.000000Z
34.959884329121635,499946.0383707125,2023-12-04T22:30:00.000000Z
29.62532755529857,499911.1397390637,2023-12-04T22:35:00.000000Z
21.1442309353791,499959.3548193456,2023-12-04T22:40:00.000000Z
35.20883961516921,499845.3357512944,2023-12-04T22:45:00.000000Z
27.12526160836212,500061.2332144045,2023-12-04T22:50:00.000000Z
32.68342951166618,500041.0987019363,2023-12-04T22:55:00.000000Z
34.51464971167829,500211.2334442079,2023-12-04T23:00:00.000000Z
25.15907435817207,499982.31016286585,2023-12-04T23:05:00.000000Z
33.26527087450238,499936.200229136,2023-12-04T23:10:00.000000Z
35.34556512705384,499824.8305381085,2023-12-04T23:15:00.000000Z
24.561365318763063,499957.6116431739,2023-12-04T23:20:00.000000Z
29.497594457550885,500032.2234423143,2023-12-04T23:25:00.000000Z
25.096263538666165,499965.710382864,2023-12-04T23:30:00.000000Z
32.10769319130864,500068.3814339525,2023-12-04T23:35:00.000000Z
35.05560700207156,499964.584790213,2023-12-04T23:40:00.000000Z
29.64494991842428,499959.5121244381,2023-12-04T23:45:00.000000Z
36.213746241652125,633035.4453925489,2023-12-04T23:50:00.000000Z
28.471955058331048,499939.4631088751,2023-12-04T23:55:00.000000Z
26.61435137480855,500145.3713297894,2023-12-05T00:00:00.000000Z
37.40086955615269,500086.8900790051,2023-12-05T00:05:00.000000Z
29.750466146089657,500027.65816272906,2023-12-05T00:10:00.000000Z
30.592811287183395,500072.00168633193,2023-12-05T00:15:00.000000Z
33.61682085822018,500073.0973156221,2023-12-05T00:20:00.000000Z
33.9605855048246,500017.2083820832,2023-12-05T00:25:00.000000Z
30.50357924731154,499827.7568197288,2023-12-05T00:30:00.000000Z
35.28372848492859,500090.26287494897,2023-12-05T00:35:00.000000Z
